divid,exp.max.premath.std,max.premath.std,scaled.premath,exp.max.postmath.std,max.postmath.std,scaled.postmath,rank,male,numstud,bot20,bal,mumbai,year,city,classyearid
416,-0.00980764169644881,0,3,-0.003760729103452741,0,2,30,0,104,0,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,0.06535227767432476,0,10,45,0,104,0,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,0.02137945219146313,0,0,23.5,0,104,0,0,1,1,Mumbai,416
416,0.418347963605005,1,16,-0.012526025791768688,0,4,78.5,0,104,0,0,1,1,Mumbai,416
416,0.418347963605005,0,16,0.005731381568919353,0,7,78.5,0,104,0,0,1,1,Mumbai,416
416,0.5086152688934107,1,17,0.4763052851533662,0,18,90,0,104,0,0,1,1,Mumbai,416
416,0.418347963605005,1,16,0.4763052851533662,0,18,93,0,104,0,0,1,1,Mumbai,416
416,1.3990753662879902,1,24,1.154421990579205,0,23,103,0,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,0.10086891016810756,1,11,51,0,104,0,0,1,1,Mumbai,416
416,0.07685145957630846,0,10,0.005731381568919353,0,7,73,1,104,0,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,0.05155480994513352,0,9.5,40,1,104,0,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,-0.003760729103452741,0,2,30,1,104,0,0,1,1,Mumbai,416
416,0.05123344940392207,0,9,0.1425388263957793,0,12,68,1,104,0,0,1,1,Mumbai,416
416,0.07685145957630846,0,10,-0.0038836233964562295,0,6,73,1,104,0,0,1,1,Mumbai,416
416,0.009325595471175823,0,1,0.006641204624826037,0,1,11.5,1,104,1,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,0.006641204624826037,0,1,17.5,0,104,1,0,1,1,Mumbai,416
416,0.11184544751874947,0,11,0.5597919577059098,0,19,73,1,104,0,0,1,1,Mumbai,416
416,0.26393225504038725,1,14,0.02072267688210639,0,8,68,1,104,0,0,1,1,Mumbai,416
416,0.012428533706486364,0,7,0.05155480994513352,0,9.5,56.5,1,104,0,0,1,1,Mumbai,416
416,0.05123344940392207,0,9,0.06535227767432476,0,10,59,1,104,0,0,1,1,Mumbai,416
416,0.20489353053293644,1,13,0.5597919577059098,0,19,86.5,1,104,0,0,1,1,Mumbai,416
416,0.07685145957630846,0,10,-0.01190746669929167,0,3.5,73,1,104,0,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,-0.010210979252664683,0,3,37,0,104,0,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,-0.003760729103452741,0,2,56.5,0,104,0,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,-0.010210979252664683,0,3,56.5,0,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,0.005731381568919353,0,7,40,0,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,-0.003760729103452741,0,2,7.5,0,104,1,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,-0.003760729103452741,0,2,17.5,0,104,1,0,1,1,Mumbai,416
416,0.012428533706486364,0,7,-0.0038836233964562295,0,6,68,0,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,-0.010210979252664683,0,3,5,0,104,1,0,1,1,Mumbai,416
416,0.11184544751874947,1,11,0.4193332461017826,1,17,83,1,104,0,0,1,1,Mumbai,416
416,0.15516123651265945,1,12,0.10086891016810756,0,11,76,0,104,0,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,-0.010379981369818462,0,5,45,0,104,0,0,1,1,Mumbai,416
